Hotel Name,Rating
JW Marriott Hotel Bangkok,4.5
The Quarter Ladprao by UHG,4.5
The Quarter Phromphong By UHG,5.0
Chatrium Hotel Riverside Bangkok,4.5
SKYVIEW Hotel Bangkok,4.5
Novotel Bangkok Platinum Pratunam,4.5
Sponsored Chern Hostel,4.5
The Quarter Ari by UHG,4.5
Shangri-La Hotel Bangkok,4.5
Mandarin Oriental Bangkok,5.0
Hotel Verve,4.5
Novotel Bangkok on Siam Square,4.0
FuramaXclusive Asoke,4.5
The Raweekanlaya Bangkok,4.5
Centara Grand at Central Plaza Ladprao Bangkok,4.5
Craftsman Bangkok,4.5
FuramaXclusive Sathorn,4.0
Vic3 Bangkok,4.0
Oakwood Suites Bangkok,5.0
Vince Hotel,4.5
