Hotel Name,Rating
PARKROYAL COLLECTION Pickering,4.5
Changi Cove,4.0
Pan Pacific Singapore,4.5
The Fullerton Hotel Singapore,4.5
Park Hotel Clarke Quay,4.0
YOTEL Singapore,4.5
Orchard Hotel Singapore,4.5
Marina Bay Sands,4.5
PARKROYAL COLLECTION Marina Bay,4.0
The Capitol Kempinski Hotel Singapore,4.5
Hotel G Singapore,4.0
Grand Park City Hall,4.5
PARKROYAL on Beach Road,4.0
Mandarin Orchard Singapore,4.0
Park Hotel Farrer Park,4.0
Goodwood Park Hotel,4.5
Pan Pacific Serviced Suites Beach Road,4.5
Hotel Boss,4.0
Four Seasons Hotel Singapore,4.5
Naumi Hotel Singapore,4.5
